iter=1, pathcost=0, heuristic=9, score=9, children=20, Qsize=0
iter=2, pathcost=1, heuristic=9, score=10, children=20, Qsize=15
iter=3, pathcost=1, heuristic=9, score=10, children=20, Qsize=26
iter=4, pathcost=1, heuristic=9, score=10, children=20, Qsize=37
iter=5, pathcost=1, heuristic=9, score=10, children=20, Qsize=48
iter=6, pathcost=1, heuristic=9, score=10, children=20, Qsize=56
iter=7, pathcost=1, heuristic=9, score=10, children=20, Qsize=62
iter=8, pathcost=2, heuristic=8, score=10, children=20, Qsize=68
iter=9, pathcost=1, heuristic=9, score=10, children=20, Qsize=82
iter=10, pathcost=1, heuristic=9, score=10, children=20, Qsize=95
iter=11, pathcost=1, heuristic=9, score=10, children=20, Qsize=100
iter=12, pathcost=1, heuristic=9, score=10, children=20, Qsize=109
iter=13, pathcost=1, heuristic=9, score=10, children=20, Qsize=120
iter=14, pathcost=1, heuristic=9, score=10, children=20, Qsize=128
iter=15, pathcost=1, heuristic=9, score=10, children=20, Qsize=139
iter=16, pathcost=1, heuristic=9, score=10, children=20, Qsize=147
iter=17, pathcost=1, heuristic=9, score=10, children=20, Qsize=154
iter=18, pathcost=1, heuristic=9, score=10, children=20, Qsize=162
iter=19, pathcost=2, heuristic=8, score=10, children=20, Qsize=169
iter=20, pathcost=2, heuristic=8, score=10, children=20, Qsize=180
iter=21, pathcost=3, heuristic=7, score=10, children=20, Qsize=191
iter=22, pathcost=3, heuristic=7, score=10, children=20, Qsize=205
iter=23, pathcost=4, heuristic=6, score=10, children=20, Qsize=216
iter=24, pathcost=2, heuristic=9, score=11, children=20, Qsize=231
iter=25, pathcost=2, heuristic=9, score=11, children=20, Qsize=233
iter=26, pathcost=2, heuristic=9, score=11, children=20, Qsize=246
iter=27, pathcost=2, heuristic=9, score=11, children=20, Qsize=253
iter=28, pathcost=2, heuristic=9, score=11, children=20, Qsize=264
iter=29, pathcost=4, heuristic=7, score=11, children=20, Qsize=275
iter=30, pathcost=4, heuristic=7, score=11, children=20, Qsize=286
iter=31, pathcost=5, heuristic=6, score=11, children=20, Qsize=300
iter=32, pathcost=2, heuristic=9, score=11, children=20, Qsize=314
iter=33, pathcost=2, heuristic=9, score=11, children=20, Qsize=323
iter=34, pathcost=2, heuristic=9, score=11, children=20, Qsize=330
iter=35, pathcost=2, heuristic=9, score=11, children=20, Qsize=341
iter=36, pathcost=3, heuristic=8, score=11, children=20, Qsize=348
iter=37, pathcost=2, heuristic=9, score=11, children=20, Qsize=358
iter=38, pathcost=2, heuristic=9, score=11, children=20, Qsize=367
iter=39, pathcost=2, heuristic=9, score=11, children=20, Qsize=374
iter=40, pathcost=2, heuristic=9, score=11, children=20, Qsize=383
iter=41, pathcost=2, heuristic=9, score=11, children=20, Qsize=395
iter=42, pathcost=2, heuristic=9, score=11, children=20, Qsize=397
iter=43, pathcost=2, heuristic=9, score=11, children=20, Qsize=406
iter=44, pathcost=2, heuristic=9, score=11, children=20, Qsize=415
iter=45, pathcost=2, heuristic=9, score=11, children=20, Qsize=426
iter=46, pathcost=2, heuristic=9, score=11, children=20, Qsize=433
iter=47, pathcost=2, heuristic=9, score=11, children=20, Qsize=439
iter=48, pathcost=2, heuristic=9, score=11, children=20, Qsize=453
iter=49, pathcost=2, heuristic=9, score=11, children=20, Qsize=463
iter=50, pathcost=2, heuristic=9, score=11, children=20, Qsize=469
iter=51, pathcost=2, heuristic=9, score=11, children=20, Qsize=482
iter=52, pathcost=2, heuristic=9, score=11, children=20, Qsize=491
iter=53, pathcost=2, heuristic=9, score=11, children=20, Qsize=497
iter=54, pathcost=3, heuristic=8, score=11, children=20, Qsize=503
iter=55, pathcost=2, heuristic=9, score=11, children=20, Qsize=512
iter=56, pathcost=5, heuristic=6, score=11, children=20, Qsize=524
iter=57, pathcost=5, heuristic=6, score=11, children=20, Qsize=539
iter=58, pathcost=2, heuristic=9, score=11, children=20, Qsize=554
iter=59, pathcost=5, heuristic=6, score=11, children=20, Qsize=565
iter=60, pathcost=5, heuristic=6, score=11, children=20, Qsize=579
iter=61, pathcost=2, heuristic=9, score=11, children=20, Qsize=590
iter=62, pathcost=2, heuristic=9, score=11, children=20, Qsize=601
iter=63, pathcost=5, heuristic=6, score=11, children=20, Qsize=609
iter=64, pathcost=5, heuristic=6, score=11, children=20, Qsize=622
iter=65, pathcost=2, heuristic=9, score=11, children=20, Qsize=635
iter=66, pathcost=5, heuristic=6, score=11, children=20, Qsize=646
iter=67, pathcost=5, heuristic=6, score=11, children=20, Qsize=658
iter=68, pathcost=2, heuristic=9, score=11, children=20, Qsize=671
iter=69, pathcost=2, heuristic=9, score=11, children=20, Qsize=677
iter=70, pathcost=2, heuristic=9, score=11, children=20, Qsize=685
