iter=1, pathcost=0, heuristic=5, score=5, children=6, Qsize=0
iter=2, pathcost=1, heuristic=5, score=6, children=6, Qsize=5
iter=3, pathcost=1, heuristic=5, score=6, children=6, Qsize=8
iter=4, pathcost=1, heuristic=5, score=6, children=6, Qsize=11
iter=5, pathcost=1, heuristic=5, score=6, children=6, Qsize=12
iter=6, pathcost=1, heuristic=5, score=6, children=6, Qsize=15
iter=7, pathcost=1, heuristic=5, score=6, children=6, Qsize=16
iter=8, pathcost=2, heuristic=5, score=7, children=6, Qsize=19
iter=9, pathcost=2, heuristic=5, score=7, children=6, Qsize=20
iter=10, pathcost=2, heuristic=5, score=7, children=6, Qsize=21
iter=11, pathcost=2, heuristic=5, score=7, children=6, Qsize=24
iter=12, pathcost=2, heuristic=5, score=7, children=6, Qsize=27
iter=13, pathcost=2, heuristic=5, score=7, children=6, Qsize=28
iter=14, pathcost=2, heuristic=5, score=7, children=6, Qsize=29
iter=15, pathcost=2, heuristic=5, score=7, children=6, Qsize=30
iter=16, pathcost=2, heuristic=5, score=7, children=6, Qsize=31
iter=17, pathcost=3, heuristic=4, score=7, children=6, Qsize=32
iter=18, pathcost=2, heuristic=5, score=7, children=6, Qsize=34
iter=19, pathcost=2, heuristic=5, score=7, children=6, Qsize=35
iter=20, pathcost=2, heuristic=5, score=7, children=6, Qsize=35
iter=21, pathcost=2, heuristic=5, score=7, children=6, Qsize=38
iter=22, pathcost=3, heuristic=4, score=7, children=6, Qsize=39
iter=23, pathcost=3, heuristic=4, score=7, children=6, Qsize=40
iter=24, pathcost=2, heuristic=5, score=7, children=6, Qsize=41
iter=25, pathcost=2, heuristic=5, score=7, children=6, Qsize=42
iter=26, pathcost=4, heuristic=3, score=7, children=6, Qsize=45
iter=27, pathcost=3, heuristic=4, score=7, children=6, Qsize=47
iter=28, pathcost=2, heuristic=5, score=7, children=6, Qsize=47
iter=29, pathcost=5, heuristic=2, score=7, children=6, Qsize=48
iter=30, pathcost=2, heuristic=5, score=7, children=6, Qsize=51
iter=31, pathcost=2, heuristic=5, score=7, children=6, Qsize=54
iter=32, pathcost=2, heuristic=5, score=7, children=6, Qsize=54
iter=33, pathcost=2, heuristic=5, score=7, children=6, Qsize=56
iter=34, pathcost=4, heuristic=3, score=7, children=6, Qsize=57
iter=35, pathcost=3, heuristic=4, score=7, children=6, Qsize=60
iter=36, pathcost=3, heuristic=5, score=8, children=6, Qsize=61
iter=37, pathcost=3, heuristic=5, score=8, children=6, Qsize=62
iter=38, pathcost=3, heuristic=5, score=8, children=6, Qsize=63
iter=39, pathcost=3, heuristic=5, score=8, children=6, Qsize=64
iter=40, pathcost=5, heuristic=3, score=8, children=6, Qsize=67
iter=41, pathcost=4, heuristic=4, score=8, children=6, Qsize=68
iter=42, pathcost=3, heuristic=5, score=8, children=6, Qsize=68
iter=43, pathcost=4, heuristic=4, score=8, children=6, Qsize=67
iter=44, pathcost=5, heuristic=3, score=8, children=6, Qsize=70
iter=45, pathcost=3, heuristic=5, score=8, children=6, Qsize=71
iter=46, pathcost=3, heuristic=5, score=8, children=6, Qsize=72
iter=47, pathcost=5, heuristic=3, score=8, children=6, Qsize=72
iter=48, pathcost=5, heuristic=3, score=8, children=6, Qsize=75
iter=49, pathcost=3, heuristic=5, score=8, children=6, Qsize=78
