iter=1, pathcost=0, heuristic=10, score=10, children=20, Qsize=0
iter=2, pathcost=1, heuristic=10, score=11, children=20, Qsize=15
iter=3, pathcost=1, heuristic=10, score=11, children=20, Qsize=26
iter=4, pathcost=1, heuristic=10, score=11, children=20, Qsize=37
iter=5, pathcost=1, heuristic=10, score=11, children=20, Qsize=48
iter=6, pathcost=1, heuristic=10, score=11, children=20, Qsize=58
iter=7, pathcost=2, heuristic=9, score=11, children=20, Qsize=72
iter=8, pathcost=1, heuristic=10, score=11, children=20, Qsize=82
iter=9, pathcost=1, heuristic=10, score=11, children=20, Qsize=93
iter=10, pathcost=1, heuristic=10, score=11, children=20, Qsize=102
iter=11, pathcost=1, heuristic=10, score=11, children=20, Qsize=112
iter=12, pathcost=1, heuristic=10, score=11, children=20, Qsize=122
iter=13, pathcost=1, heuristic=10, score=11, children=20, Qsize=130
iter=14, pathcost=2, heuristic=9, score=11, children=20, Qsize=138
iter=15, pathcost=1, heuristic=10, score=11, children=20, Qsize=145
iter=16, pathcost=1, heuristic=10, score=11, children=20, Qsize=154
iter=17, pathcost=1, heuristic=10, score=11, children=20, Qsize=162
iter=18, pathcost=1, heuristic=10, score=11, children=20, Qsize=171
iter=19, pathcost=2, heuristic=9, score=11, children=20, Qsize=179
iter=20, pathcost=1, heuristic=10, score=11, children=20, Qsize=186
iter=21, pathcost=2, heuristic=10, score=12, children=20, Qsize=195
iter=22, pathcost=2, heuristic=10, score=12, children=20, Qsize=204
iter=23, pathcost=2, heuristic=10, score=12, children=20, Qsize=214
iter=24, pathcost=2, heuristic=10, score=12, children=20, Qsize=227
iter=25, pathcost=2, heuristic=10, score=12, children=20, Qsize=238
iter=26, pathcost=2, heuristic=10, score=12, children=20, Qsize=245
iter=27, pathcost=3, heuristic=9, score=12, children=20, Qsize=254
iter=28, pathcost=2, heuristic=10, score=12, children=20, Qsize=264
iter=29, pathcost=2, heuristic=10, score=12, children=20, Qsize=279
iter=30, pathcost=2, heuristic=10, score=12, children=20, Qsize=290
iter=31, pathcost=2, heuristic=10, score=12, children=20, Qsize=301
iter=32, pathcost=2, heuristic=10, score=12, children=20, Qsize=306
iter=33, pathcost=2, heuristic=10, score=12, children=20, Qsize=313
iter=34, pathcost=2, heuristic=10, score=12, children=20, Qsize=324
iter=35, pathcost=2, heuristic=10, score=12, children=20, Qsize=338
iter=36, pathcost=2, heuristic=10, score=12, children=20, Qsize=342
iter=37, pathcost=2, heuristic=10, score=12, children=20, Qsize=355
iter=38, pathcost=2, heuristic=10, score=12, children=20, Qsize=367
iter=39, pathcost=2, heuristic=10, score=12, children=20, Qsize=377
iter=40, pathcost=2, heuristic=10, score=12, children=20, Qsize=386
iter=41, pathcost=2, heuristic=10, score=12, children=20, Qsize=392
iter=42, pathcost=2, heuristic=10, score=12, children=20, Qsize=402
iter=43, pathcost=2, heuristic=10, score=12, children=20, Qsize=410
iter=44, pathcost=2, heuristic=10, score=12, children=20, Qsize=418
iter=45, pathcost=2, heuristic=10, score=12, children=20, Qsize=426
iter=46, pathcost=2, heuristic=10, score=12, children=20, Qsize=437
iter=47, pathcost=2, heuristic=10, score=12, children=20, Qsize=448
iter=48, pathcost=2, heuristic=10, score=12, children=20, Qsize=460
iter=49, pathcost=2, heuristic=10, score=12, children=20, Qsize=465
iter=50, pathcost=2, heuristic=10, score=12, children=20, Qsize=474
iter=51, pathcost=2, heuristic=10, score=12, children=20, Qsize=482
iter=52, pathcost=2, heuristic=10, score=12, children=20, Qsize=492
iter=53, pathcost=2, heuristic=10, score=12, children=20, Qsize=501
iter=54, pathcost=2, heuristic=10, score=12, children=20, Qsize=512
iter=55, pathcost=2, heuristic=10, score=12, children=20, Qsize=521
iter=56, pathcost=2, heuristic=10, score=12, children=20, Qsize=523
iter=57, pathcost=2, heuristic=10, score=12, children=20, Qsize=532
iter=58, pathcost=2, heuristic=10, score=12, children=20, Qsize=543
iter=59, pathcost=2, heuristic=10, score=12, children=20, Qsize=554
iter=60, pathcost=2, heuristic=10, score=12, children=20, Qsize=561
iter=61, pathcost=2, heuristic=10, score=12, children=20, Qsize=572
iter=62, pathcost=2, heuristic=10, score=12, children=20, Qsize=581
iter=63, pathcost=2, heuristic=10, score=12, children=20, Qsize=586
iter=64, pathcost=2, heuristic=10, score=12, children=20, Qsize=594
iter=65, pathcost=2, heuristic=10, score=12, children=20, Qsize=598
iter=66, pathcost=2, heuristic=10, score=12, children=20, Qsize=607
iter=67, pathcost=2, heuristic=10, score=12, children=20, Qsize=613
iter=68, pathcost=2, heuristic=10, score=12, children=20, Qsize=623
iter=69, pathcost=2, heuristic=10, score=12, children=20, Qsize=628
iter=70, pathcost=2, heuristic=10, score=12, children=20, Qsize=635
iter=71, pathcost=2, heuristic=10, score=12, children=20, Qsize=640
iter=72, pathcost=2, heuristic=10, score=12, children=20, Qsize=650
