iter=1, pathcost=0, heuristic=5, score=5, children=6, Qsize=0
iter=2, pathcost=1, heuristic=5, score=6, children=6, Qsize=5
iter=3, pathcost=1, heuristic=5, score=6, children=6, Qsize=8
iter=4, pathcost=1, heuristic=5, score=6, children=6, Qsize=11
iter=5, pathcost=1, heuristic=5, score=6, children=6, Qsize=12
iter=6, pathcost=1, heuristic=5, score=6, children=6, Qsize=15
iter=7, pathcost=1, heuristic=5, score=6, children=6, Qsize=16
iter=8, pathcost=2, heuristic=5, score=7, children=6, Qsize=19
iter=9, pathcost=2, heuristic=5, score=7, children=6, Qsize=20
iter=10, pathcost=2, heuristic=5, score=7, children=6, Qsize=21
iter=11, pathcost=2, heuristic=5, score=7, children=6, Qsize=24
iter=12, pathcost=2, heuristic=5, score=7, children=6, Qsize=27
iter=13, pathcost=2, heuristic=5, score=7, children=6, Qsize=28
iter=14, pathcost=2, heuristic=5, score=7, children=6, Qsize=29
iter=15, pathcost=3, heuristic=4, score=7, children=6, Qsize=30
iter=16, pathcost=2, heuristic=5, score=7, children=6, Qsize=33
iter=17, pathcost=3, heuristic=4, score=7, children=6, Qsize=34
iter=18, pathcost=2, heuristic=5, score=7, children=6, Qsize=35
iter=19, pathcost=2, heuristic=5, score=7, children=6, Qsize=36
iter=20, pathcost=2, heuristic=5, score=7, children=6, Qsize=37
iter=21, pathcost=2, heuristic=5, score=7, children=6, Qsize=37
iter=22, pathcost=2, heuristic=5, score=7, children=6, Qsize=40
iter=23, pathcost=2, heuristic=5, score=7, children=6, Qsize=41
iter=24, pathcost=2, heuristic=5, score=7, children=6, Qsize=42
iter=25, pathcost=2, heuristic=5, score=7, children=6, Qsize=45
iter=26, pathcost=2, heuristic=5, score=7, children=6, Qsize=46
iter=27, pathcost=2, heuristic=5, score=7, children=6, Qsize=49
iter=28, pathcost=2, heuristic=5, score=7, children=6, Qsize=49
iter=29, pathcost=2, heuristic=5, score=7, children=6, Qsize=51
iter=30, pathcost=3, heuristic=5, score=8, children=6, Qsize=52
iter=31, pathcost=3, heuristic=5, score=8, children=6, Qsize=53
iter=32, pathcost=4, heuristic=4, score=8, children=6, Qsize=54
iter=33, pathcost=3, heuristic=5, score=8, children=6, Qsize=55
iter=34, pathcost=3, heuristic=5, score=8, children=6, Qsize=56
iter=35, pathcost=3, heuristic=5, score=8, children=6, Qsize=59
iter=36, pathcost=3, heuristic=5, score=8, children=6, Qsize=60
iter=37, pathcost=3, heuristic=5, score=8, children=6, Qsize=59
iter=38, pathcost=3, heuristic=5, score=8, children=6, Qsize=60
iter=39, pathcost=3, heuristic=5, score=8, children=6, Qsize=63
iter=40, pathcost=4, heuristic=4, score=8, children=6, Qsize=63
iter=41, pathcost=3, heuristic=5, score=8, children=6, Qsize=64
iter=42, pathcost=3, heuristic=5, score=8, children=6, Qsize=65
iter=43, pathcost=4, heuristic=4, score=8, children=6, Qsize=66
iter=44, pathcost=3, heuristic=5, score=8, children=6, Qsize=69
iter=45, pathcost=3, heuristic=5, score=8, children=6, Qsize=72
iter=46, pathcost=3, heuristic=5, score=8, children=6, Qsize=71
iter=47, pathcost=3, heuristic=5, score=8, children=6, Qsize=72
iter=48, pathcost=3, heuristic=5, score=8, children=6, Qsize=73
iter=49, pathcost=3, heuristic=5, score=8, children=6, Qsize=74
